a,pg,aLabel,born,died
http://www.wikidata.org/entity/Q454734,5830,Evelyn Underhill,1875-12-06T00:00:00Z,1941-06-15T00:00:00Z
http://www.wikidata.org/entity/Q1544350,5391,Theodolinda Hahnsson,1838-02-01T00:00:00Z,1919-04-20T00:00:00Z
http://www.wikidata.org/entity/Q2710971,54940,Linda Arvidson,1884-07-12T00:00:00Z,1949-07-26T00:00:00Z
http://www.wikidata.org/entity/Q3295174,49365,M. Carey Thomas,1857-01-02T00:00:00Z,1935-12-02T00:00:00Z
http://www.wikidata.org/entity/Q4820981,52670,Augusta Theodosia Drane,1823-12-29T00:00:00Z,1894-04-19T00:00:00Z
http://www.wikidata.org/entity/Q4820981,52670,Augusta Theodosia Drane,1823-12-29T00:00:00Z,1894-04-29T00:00:00Z
http://www.wikidata.org/entity/Q5131232,4853,Clemence Housman,1861-11-23T00:00:00Z,1955-12-06T00:00:00Z
http://www.wikidata.org/entity/Q5362696,457,Elizabeth Drew Stoddard,1823-05-06T00:00:00Z,1902-08-01T00:00:00Z
http://www.wikidata.org/entity/Q6759514,613,Margaret Hill McCarter,1890-06-05T00:00:00Z,1938-08-31T00:00:00Z
http://www.wikidata.org/entity/Q6780149,4864,Mary Louise Booth,1831-04-19T00:00:00Z,1889-03-05T00:00:00Z
http://www.wikidata.org/entity/Q11988739,6213,Maud Diver,1867-09-09T00:00:00Z,1945-10-14T00:00:00Z
http://www.wikidata.org/entity/Q14954470,5824,Lulu Hunt Peters,1873-01-01T00:00:00Z,1930-06-01T00:00:00Z
http://www.wikidata.org/entity/Q20738551,500,Louise Maude,1855-01-01T00:00:00Z,1939-01-01T00:00:00Z
http://www.wikidata.org/entity/Q23898890,4973,Gertrude Helena Bone,1876-01-01T00:00:00Z,1962-01-01T00:00:00Z
http://www.wikidata.org/entity/Q28468355,55217,Alma Webster Powell,1869-11-20T00:00:00Z,1930-03-11T00:00:00Z
http://www.wikidata.org/entity/Q55816210,54313,Minnie A. Weeks Pittock,1862-08-08T00:00:00Z,1915-05-16T00:00:00Z
http://www.wikidata.org/entity/Q62396999,51109,Bertha Lindsay,1897-01-01T00:00:00Z,1990-10-03T00:00:00Z
http://www.wikidata.org/entity/Q64685607,47609,Katharine Wylde,1854-01-01T00:00:00Z,1941-01-01T00:00:00Z
http://www.wikidata.org/entity/Q84607110,58521,Beatrix Bulstrode,1869-01-01T00:00:00Z,1951-01-01T00:00:00Z
http://www.wikidata.org/entity/Q105763815,53398,Q105763815,1853-01-01T00:00:00Z,1922-01-01T00:00:00Z
http://www.wikidata.org/entity/Q125938402,54361,Fanny Janet Blunt,1839-01-01T00:00:00Z,1926-01-01T00:00:00Z
http://www.wikidata.org/entity/Q61641,8478,Lilli Lehmann,1848-11-24T00:00:00Z,1929-05-06T00:00:00Z
http://www.wikidata.org/entity/Q61641,8478,Lilli Lehmann,1848-11-24T00:00:00Z,1929-05-16T00:00:00Z
http://www.wikidata.org/entity/Q61641,8478,Lilli Lehmann,1848-11-24T00:00:00Z,1929-05-17T00:00:00Z
http://www.wikidata.org/entity/Q101638,84,Mary Wollstonecraft,1759-04-27T00:00:00Z,1797-09-10T00:00:00Z
http://www.wikidata.org/entity/Q105180,689,Sojourner Truth,1797-01-01T00:00:00Z,1883-11-26T00:00:00Z
http://www.wikidata.org/entity/Q2402392,7152,Richmal Crompton,1890-11-15T00:00:00Z,1969-01-11T00:00:00Z
http://www.wikidata.org/entity/Q2493772,1177,Ellen Wood,1814-01-17T00:00:00Z,1887-02-10T00:00:00Z
http://www.wikidata.org/entity/Q2646888,876,Alice Freeman Palmer,1855-02-21T00:00:00Z,1902-12-06T00:00:00Z
http://www.wikidata.org/entity/Q4957212,695,Mary Johnston,1870-11-21T00:00:00Z,1936-05-09T00:00:00Z
http://www.wikidata.org/entity/Q5045459,8801,Carolyn Sherwin Bailey,1875-10-25T00:00:00Z,1961-12-23T00:00:00Z
http://www.wikidata.org/entity/Q11850999,6629,Alma Suppanen,1858-01-25T00:00:00Z,1937-01-24T00:00:00Z
http://www.wikidata.org/entity/Q15452445,6301,Jane Barlow,1856-10-17T00:00:00Z,1917-04-17T00:00:00Z
http://www.wikidata.org/entity/Q15452571,9865,May Kendall,1861-01-01T00:00:00Z,1943-01-01T00:00:00Z
http://www.wikidata.org/entity/Q15981420,8395,Fanny Dickerson Bergen,1846-02-04T00:00:00Z,1924-09-01T00:00:00Z
http://www.wikidata.org/entity/Q18522749,6313,Lucy Hamilton Hooper,1835-01-20T00:00:00Z,1893-08-31T00:00:00Z
http://www.wikidata.org/entity/Q19973737,921,Mary Loyd,1853-01-01T00:00:00Z,1936-01-01T00:00:00Z
http://www.wikidata.org/entity/Q26702824,716,Ruth Ogden,1853-12-27T00:00:00Z,1927-07-02T00:00:00Z
http://www.wikidata.org/entity/Q55995484,8087,Adelia B. Beard,1857-01-01T00:00:00Z,1920-01-01T00:00:00Z
http://www.wikidata.org/entity/Q81599783,7607,Muriel A. C. Press,1867-02-22T00:00:00Z,1937-12-04T00:00:00Z
http://www.wikidata.org/entity/Q136652046,770,Mitzi Perdue,,
http://www.wikidata.org/entity/Q44520,404,Q44520,1820-01-17T00:00:00Z,1849-05-28T00:00:00Z
http://www.wikidata.org/entity/Q127332,408,Charlotte Brontë,1816-04-21T00:00:00Z,1855-03-31T00:00:00Z
http://www.wikidata.org/entity/Q273034,36,Lucy Maud Montgomery,1874-11-30T00:00:00Z,1942-04-24T00:00:00Z
http://www.wikidata.org/entity/Q298027,3553,Minna Canth,1844-03-19T00:00:00Z,1897-05-12T00:00:00Z
http://www.wikidata.org/entity/Q394626,3750,Agnes Sapper,1852-04-12T00:00:00Z,1929-03-19T00:00:00Z
http://www.wikidata.org/entity/Q440119,42531,Juliette Drouet,1806-04-10T00:00:00Z,1883-05-11T00:00:00Z
http://www.wikidata.org/entity/Q1559438,3687,Eliza Haywood,1693-01-01T00:00:00Z,1756-02-25T00:00:00Z
http://www.wikidata.org/entity/Q1559438,3687,Eliza Haywood,1693-01-01T00:00:00Z,1757-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2518093,402,Mary Mapes Dodge,1831-01-26T00:00:00Z,1905-08-21T00:00:00Z
http://www.wikidata.org/entity/Q2826927,33220,Agnes Mary Clerke,1842-02-10T00:00:00Z,1907-01-20T00:00:00Z
